CO_IES;CO_CATEGAD;CO_ORGACAD;CURSO;CO_MODALIDADE;CO_UF_CURSO;REGIAO;NU_IDADE;TP_SEXO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO;NT_GER;NT_FG;NT_OBJ_FG;NT_DIS_FG;NT_FG_D1;NT_FG_D1_PT;NT_FG_D1_CT;NT_FG_D2;NT_FG_D2_PT;NT_FG_D2_CT;NT_CE;NT_OBJ_CE;NT_DIS_CE;NT_CE_D1;NT_CE_D2;NT_CE_D3;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9;QE_I01;QE_I02;QE_I03;QE_I04;QE_I05;QE_I06;QE_I07;QE_I08;QE_I09;QE_I10;QE_I11;QE_I12;QE_I13;QE_I14;QE_I15;QE_I16;QE_I17;QE_I18;QE_I19;QE_I20;QE_I21;QE_I22;QE_I23;QE_I24;QE_I25;QE_I26;QE_I27;QE_I28;QE_I29;QE_I30;QE_I31;QE_I32;QE_I33;QE_I34;QE_I35;QE_I36;QE_I37;QE_I38;QE_I39;QE_I40;QE_I41;QE_I42;QE_I43;QE_I44;QE_I45;QE_I46;QE_I47;QE_I48;QE_I49;QE_I50;QE_I51;QE_I52;QE_I53;QE_I54;QE_I55;QE_I56;QE_I57;QE_I58;QE_I59;QE_I60;QE_I61;QE_I62;QE_I63;QE_I64;QE_I65;QE_I66;QE_I67;QE_I68
2;1;10028;Fisica;1;DF;CO;22;M;2012.0;2013.0;4.0;13.1;22.5;37.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;10.0;30.0;0.0;0.0;C;E;D;C;C;D;C;C;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;10028;Fisica;1;DF;CO;34;M;2001.0;2013.0;4.0;57.1;62.4;50.0;81.0;88.0;80.0;90.0;74.0;90.0;70.0;55.3;65.0;0.0;0.0;0.0;0.0;C;C;A;B;B;C;D;C;E;B;D;A;D;D;C;B;D;E;B;A;A;B;A;A;33.0;A;A;A;A;A;B;D;D;E;C;5.0;5.0;5.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;2.0;5.0;2.0;5.0;4.0;2.0;4.0;5.0;5.0;4.0;8.0;4.0;7.0;6.0;5.0;3.0;4.0;3.0;5.0;4.0;5.0;5.0;5.0;5.0;1.0;6.0;5.0;5.0
2;1;10028;Fisica;1;DF;CO;26;M;2008.0;2016.0;4.0;36.2;61.5;62.5;60.0;50.0;30.0;55.0;70.0;50.0;75.0;27.8;30.0;15.0;10.0;35.0;0.0;B;B;B;B;B;B;E;D;C;A;D;A;B;C;B;D;C;C;B;A;C;C;A;A;53.0;A;A;A;B;A;C;C;D;D;F;3.0;3.0;2.0;4.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;1.0;2.0;4.0;4.0;4.0;3.0;4.0;3.0;3.0;5.0;5.0;1.0;1.0;3.0;2.0;4.0;2.0;4.0;3.0;3.0;3.0;1.0;2.0;6.0;4.0;3.0;3.0;3.0
2;1;10028;Fisica;1;DF;CO;25;M;2009.0;2013.0;4.0;37.0;70.0;75.0;62.5;79.0;75.0;80.0;46.0;50.0;45.0;26.0;30.0;3.3;0.0;0.0;10.0;C;C;C;C;C;C;C;C;C;B;D;A;D;D;C;C;A;A;A;H;F;F;A;A;53.0;A;A;B;K;A;C;C;C;E;A;5.0;6.0;4.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;4.0;5.0;5.0;4.0;5.0;4.0;6.0;6.0;4.0;3.0;5.0;5.0;5.0;4.0;4.0;3.0;3.0;4.0;4.0;5.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;4.0;3.0;5.0;5.0;6.0
2;1;10028;Fisica;1;DF;CO;22;F;2012.0;2013.0;4.0;35.1;45.8;50.0;39.5;32.0;60.0;25.0;47.0;55.0;45.0;31.5;30.0;40.0;10.0;50.0;60.0;C;C;C;B;B;B;B;D;D;D;A;A;F;D;B;F;F;B;A;A;A;F;A;D;53.0;A;B;B;C;A;C;C;E;B;F;3.0;5.0;5.0;5.0;5.0;4.0;5.0;3.0;4.0;4.0;4.0;4.0;5.0;3.0;5.0;5.0;5.0;5.0;4.0;7.0;5.0;5.0;4.0;6.0;8.0;7.0;7.0;4.0;4.0;3.0;5.0;3.0;7.0;4.0;4.0;4.0;4.0;5.0;7.0;5.0;4.0;4.0
2;1;10028;Fisica;1;DF;CO;26;M;2009.0;2016.0;4.0;62.6;86.1;87.5;84.0;73.0;65.0;75.0;95.0;75.0;100.0;54.7;55.0;53.3;20.0;80.0;60.0;B;C;A;A;A;B;A;B;D;A;D;A;F;E;A;A;D;D;E;A;A;D;A;A;35.0;A;E;B;B;A;A;B;E;E;A;4.0;1.0;6.0;6.0;1.0;6.0;6.0;6.0;6.0;1.0;1.0;1.0;6.0;3.0;1.0;6.0;6.0;6.0;6.0;6.0;4.0;4.0;4.0;8.0;8.0;1.0;7.0;4.0;1.0;3.0;4.0;6.0;6.0;3.0;3.0;6.0;4.0;6.0;4.0;4.0;6.0;6.0
2;1;10028;Fisica;1;DF;CO;29;F;2005.0;2016.0;4.0;58.8;91.8;100.0;79.5;66.0;90.0;60.0;93.0;65.0;100.0;47.8;55.0;6.7;0.0;0.0;20.0;C;C;E;C;D;C;A;D;E;A;B;A;E;E;B;E;E;B;B;A;A;A;A;B;53.0;A;A;B;C;A;C;D;E;H;F;5.0;5.0;5.0;5.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
2;1;10028;Fisica;1;DF;CO;22;F;2012.0;2013.0;4.0;38.3;29.2;25.0;35.5;0.0;0.0;0.0;71.0;75.0;70.0;41.3;45.0;20.0;0.0;0.0;60.0;.;.;A;B;B;.;D;.;D;A;C;A;E;D;B;D;E;B;A;A;A;F;A;A;53.0;B;A;B;G;A;B;D;E;G;A;4.0;6.0;6.0;6.0;5.0;5.0;4.0;5.0;5.0;7.0;2.0;3.0;4.0;1.0;2.0;5.0;6.0;6.0;1.0;2.0;4.0;4.0;3.0;8.0;8.0;1.0;1.0;2.0;5.0;6.0;4.0;3.0;2.0;3.0;1.0;6.0;6.0;2.0;3.0;1.0;2.0;4.0
2;1;10028;Fisica;1;DF;CO;22;M;2012.0;2013.0;4.0;60.5;67.9;62.5;76.0;55.0;75.0;50.0;97.0;85.0;100.0;58.0;65.0;18.3;30.0;15.0;10.0;C;C;B;C;B;C;B;D;D;A;D;A;D;E;D;A;F;B;A;A;A;E;A;A;53.0;A;A;B;C;A;B;E;D;H;F;5.0;5.0;5.0;4.0;5.0;6.0;6.0;6.0;6.0;6.0;5.0;6.0;6.0;5.0;5.0;6.0;6.0;6.0;5.0;6.0;5.0;5.0;6.0;6.0;8.0;5.0;5.0;5.0;6.0;5.0;6.0;5.0;6.0;5.0;5.0;5.0;5.0;6.0;4.0;5.0;5.0;6.0
2;1;10028;Fisica;1;DF;CO;28;M;2006.0;2013.0;4.0;64.5;86.8;100.0;67.0;61.0;65.0;60.0;73.0;65.0;75.0;57.0;60.0;40.0;20.0;90.0;10.0;B;B;C;B;B;A;D;D;C;A;F;A;D;D;A;A;A;D;B;A;A;B;A;A;53.0;A;A;B;C;A;A;C;A;H;G;3.0;1.0;6.0;4.0;1.0;2.0;6.0;5.0;4.0;3.0;4.0;4.0;5.0;2.0;1.0;6.0;6.0;6.0;5.0;6.0;4.0;5.0;5.0;8.0;8.0;7.0;7.0;1.0;7.0;4.0;5.0;5.0;7.0;6.0;5.0;5.0;5.0;6.0;7.0;2.0;7.0;5.0
