CO_IES;CO_CATEGAD;CO_ORGACAD;CURSO;CO_MODALIDADE;CO_UF_CURSO;REGIAO;NU_IDADE;TP_SEXO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO;NT_GER;NT_FG;NT_OBJ_FG;NT_DIS_FG;NT_FG_D1;NT_FG_D1_PT;NT_FG_D1_CT;NT_FG_D2;NT_FG_D2_PT;NT_FG_D2_CT;NT_CE;NT_OBJ_CE;NT_DIS_CE;NT_CE_D1;NT_CE_D2;NT_CE_D3;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9;QE_I01;QE_I02;QE_I03;QE_I04;QE_I05;QE_I06;QE_I07;QE_I08;QE_I09;QE_I10;QE_I11;QE_I12;QE_I13;QE_I14;QE_I15;QE_I16;QE_I17;QE_I18;QE_I19;QE_I20;QE_I21;QE_I22;QE_I23;QE_I24;QE_I25;QE_I26;QE_I27;QE_I28;QE_I29;QE_I30;QE_I31;QE_I32;QE_I33;QE_I34;QE_I35;QE_I36;QE_I37;QE_I38;QE_I39;QE_I40;QE_I41;QE_I42;QE_I43;QE_I44;QE_I45;QE_I46;QE_I47;QE_I48;QE_I49;QE_I50;QE_I51;QE_I52;QE_I53;QE_I54;QE_I55;QE_I56;QE_I57;QE_I58;QE_I59;QE_I60;QE_I61;QE_I62;QE_I63;QE_I64;QE_I65;QE_I66;QE_I67;QE_I68
578;1;10028;Fisica;1;BA;NE;34;M;2001.0;2009.0;4.0;44.8;47.3;62.5;24.5;49.0;65.0;45.0;0.0;0.0;0.0;44.0;50.0;10.0;0.0;0.0;30.0;C;C;C;A;A;B;*;D;B;B;B;A;D;B;C;B;B;F;D;A;A;A;A;A;29.0;A;A;B;C;A;C;D;E;E;A;4.0;5.0;6.0;4.0;3.0;6.0;5.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;3.0;3.0;3.0;4.0;5.0;5.0;4.0;6.0;6.0;4.0;4.0;4.0;5.0;5.0;6.0;2.0;2.0;2.0;6.0;4.0;5.0;2.0;3.0;2.0;2.0;2.0
578;1;10028;Fisica;1;BA;NE;27;M;2009.0;2017.0;4.0;28.2;36.4;50.0;16.0;32.0;40.0;30.0;0.0;0.0;0.0;25.5;30.0;0.0;0.0;0.0;0.0;C;C;B;B;C;D;B;D;C;A;B;A;B;D;B;C;A;A;A;A;A;B;A;E;29.0;A;A;B;C;B;C;E;E;E;A;5.0;5.0;4.0;5.0;4.0;4.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;6.0;6.0;4.0;6.0;6.0;6.0;6.0;5.0;6.0;4.0;6.0;5.0;5.0;6.0;5.0;6.0;6.0;6.0;4.0;6.0;6.0;5.0;5.0
578;1;10028;Fisica;1;BA;NE;28;M;2007.0;2017.0;4.0;24.4;46.5;62.5;22.5;0.0;0.0;0.0;45.0;25.0;50.0;17.0;20.0;0.0;0.0;0.0;0.0;D;D;D;D;D;D;D;D;D;A;A;A;E;E;B;B;A;C;B;A;A;D;A;A;29.0;B;A;B;B;A;C;D;A;G;A;4.0;5.0;3.0;3.0;5.0;3.0;5.0;6.0;4.0;6.0;3.0;3.0;5.0;4.0;5.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;3.0;6.0;5.0;4.0;4.0;5.0;4.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;4.0;6.0;6.0;6.0;6.0;6.0
6;1;10028;Fisica;1;MG;SE;24;M;2011.0;2014.0;3.0;42.0;22.5;37.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.5;57.1;0.0;0.0;0.0;0.0;C;C;B;B;B;C;B;C;C;A;D;A;E;D;D;A;C;B;A;A;A;E;A;A;31.0;E;A;A;C;A;E;D;C;E;F;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;6.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;5.0;5.0;4.0;6.0;6.0;6.0
6;1;10028;Fisica;1;MG;SE;28;F;2006.0;2009.0;3.0;24.2;70.8;75.0;64.5;76.0;60.0;80.0;53.0;65.0;50.0;8.6;9.5;3.3;10.0;0.0;0.0;C;C;B;A;A;B;D;C;D;A;D;A;B;C;D;E;A;A;A;A;D;C;A;A;31.0;A;A;B;C;B;C;D;D;E;A;6.0;4.0;6.0;4.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;4.0;4.0;6.0;5.0;6.0;6.0;6.0;7.0;3.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0
6;1;10028;Fisica;1;MG;SE;26;M;2008.0;2014.0;3.0;28.1;48.7;37.5;65.5;84.0;60.0;90.0;47.0;55.0;45.0;21.2;23.8;6.7;20.0;0.0;0.0;C;D;B;C;C;D;D;E;D;A;F;A;B;C;D;A;A;A;A;A;E;E;A;D;31.0;A;A;B;C;A;B;E;E;H;H;7.0;5.0;5.0;4.0;7.0;6.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;5.0;4.0;5.0;5.0;6.0;4.0;5.0;8.0;7.0;7.0;7.0;5.0;5.0;5.0;5.0;4.0;7.0;4.0;4.0;5.0;5.0;4.0;7.0;5.0;5.0;6.0
6;1;10028;Fisica;1;MG;SE;27;M;2009.0;2011.0;3.0;29.5;45.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.3;28.6;0.0;0.0;0.0;0.0;C;D;A;C;B;B;D;C;D;A;F;A;D;D;B;E;B;B;A;A;A;A;A;A;31.0;A;A;B;C;A;B;C;E;H;C;7.0;6.0;5.0;4.0;5.0;6.0;6.0;5.0;6.0;6.0;4.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;5.0;5.0;5.0;4.0;6.0;6.0;7.0;6.0;5.0;4.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;7.0;6.0;2.0;6.0
6;1;10028;Fisica;1;MG;SE;24;M;2010.0;2011.0;3.0;46.5;76.1;87.5;59.0;65.0;65.0;65.0;53.0;65.0;50.0;36.6;38.1;28.3;70.0;0.0;15.0;C;C;A;A;B;B;A;D;E;A;D;A;E;E;D;A;C;B;A;A;A;E;A;A;31.0;B;A;B;G;A;A;E;E;E;A;6.0;3.0;6.0;5.0;7.0;4.0;5.0;6.0;4.0;6.0;6.0;5.0;6.0;6.0;6.0;6.0;4.0;4.0;5.0;6.0;6.0;7.0;6.0;8.0;7.0;1.0;4.0;6.0;6.0;6.0;6.0;5.0;3.0;5.0;5.0;6.0;6.0;6.0;7.0;7.0;6.0;6.0
1027;2;10028;Fisica;1;RJ;SE;27;M;2007.0;2014.0;4.0;51.7;70.3;62.5;82.0;93.0;65.0;100.0;71.0;55.0;75.0;45.5;50.0;20.0;10.0;40.0;10.0;C;C;C;A;A;B;D;C;C;E;A;A;D;D;C;B;B;D;E;A;C;F;A;A;33.0;A;A;A;A;B;B;B;E;B;A;6.0;6.0;6.0;6.0;6.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;6.0;6.0;6.0;7.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;7.0;6.0;6.0;6.0
1027;2;10028;Fisica;1;RJ;SE;25;M;2010.0;2013.0;4.0;31.1;45.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.5;30.0;6.7;20.0;0.0;0.0;C;C;A;B;B;B;B;D;E;A;D;A;C;C;B;E;D;E;A;A;A;F;A;D;33.0;A;B;B;C;B;C;E;E;E;C;5.0;5.0;5.0;5.0;4.0;6.0;5.0;6.0;5.0;5.0;4.0;5.0;5.0;7.0;6.0;5.0;6.0;5.0;4.0;6.0;5.0;4.0;5.0;3.0;6.0;7.0;7.0;7.0;6.0;6.0;5.0;5.0;6.0;4.0;6.0;6.0;6.0;6.0;6.0;5.0;7.0;5.0
1027;2;10028;Fisica;1;RJ;SE;23;F;2011.0;2013.0;4.0;29.3;15.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;40.0;0.0;0.0;0.0;0.0;C;C;C;B;B;C;B;C;A;A;A;A;D;B;D;A;A;A;A;A;F;B;A;E;33.0;A;A;B;C;A;D;E;E;A;A;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;6.0;3.0;3.0;5.0;6.0;6.0;6.0;6.0;3.0;6.0;6.0;6.0;6.0;5.0;3.0;6.0;4.0;6.0
1027;2;10028;Fisica;1;RJ;SE;29;M;2005.0;2010.0;4.0;45.8;38.4;25.0;58.5;64.0;60.0;65.0;53.0;65.0;50.0;48.2;50.0;38.3;40.0;15.0;60.0;B;B;C;A;A;A;E;D;B;A;A;A;D;D;B;E;D;E;D;A;A;F;A;A;33.0;B;A;A;H;A;C;A;E;E;D;3.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;6.0;6.0;5.0;6.0;6.0;5.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;6.0;3.0;6.0;6.0;6.0;4.0;6.0;5.0;6.0;6.0;6.0;6.0;3.0;6.0;3.0;5.0
1027;2;10028;Fisica;1;RJ;SE;26;F;2009.0;2011.0;4.0;28.8;61.0;50.0;77.5;86.0;70.0;90.0;69.0;65.0;70.0;18.0;20.0;6.7;0.0;0.0;20.0;C;D;C;A;A;B;D;D;B;A;A;A;C;E;A;A;B;B;A;A;A;A;C;A;33.0;B;A;B;C;A;B;C;E;H;A;1.0;2.0;2.0;1.0;1.0;2.0;4.0;1.0;3.0;3.0;1.0;2.0;4.0;1.0;3.0;5.0;5.0;5.0;5.0;6.0;2.0;2.0;2.0;2.0;5.0;6.0;6.0;1.0;5.0;5.0;5.0;2.0;5.0;3.0;5.0;5.0;5.0;5.0;2.0;2.0;2.0;5.0
1027;2;10028;Fisica;1;RJ;SE;22;M;2013.0;2014.0;4.0;70.3;76.5;87.5;60.0;50.0;50.0;50.0;70.0;50.0;75.0;68.2;70.0;58.3;30.0;85.0;60.0;B;C;C;B;A;B;*;D;D;A;D;A;E;F;B;D;B;C;A;A;F;B;A;E;33.0;A;B;D;A;A;A;E;E;E;C;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;4.0;5.0;4.0;6.0;8.0;6.0;8.0;6.0;5.0;5.0;6.0;4.0;3.0;5.0;6.0;6.0;6.0;8.0;6.0;6.0;3.0
1027;2;10028;Fisica;1;RJ;SE;24;M;2011.0;2013.0;4.0;32.2;39.2;50.0;23.0;46.0;70.0;40.0;0.0;0.0;0.0;29.8;35.0;0.0;0.0;0.0;0.0;C;C;A;B;B;D;D;C;E;A;A;A;D;F;B;C;D;B;A;A;A;B;A;A;33.0;A;A;B;C;A;B;C;E;E;F;5.0;6.0;4.0;6.0;6.0;6.0;5.0;6.0;3.0;6.0;2.0;4.0;4.0;4.0;5.0;6.0;6.0;6.0;6.0;6.0;4.0;5.0;5.0;5.0;4.0;1.0;2.0;1.0;6.0;5.0;5.0;6.0;6.0;1.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0
1027;2;10028;Fisica;1;RJ;SE;23;F;2011.0;2013.0;4.0;49.5;52.5;87.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.5;50.0;40.0;60.0;0.0;60.0;C;C;B;B;B;B;A;D;E;A;A;A;D;D;B;C;F;C;A;A;A;B;A;A;33.0;A;A;B;A;B;C;E;E;E;C;3.0;5.0;3.0;2.0;6.0;6.0;6.0;5.0;6.0;4.0;3.0;4.0;4.0;1.0;6.0;6.0;1.0;6.0;1.0;5.0;6.0;6.0;3.0;5.0;5.0;1.0;1.0;1.0;5.0;6.0;5.0;5.0;5.0;1.0;5.0;6.0;6.0;2.0;1.0;4.0;1.0;3.0
1027;2;10028;Fisica;1;RJ;SE;22;M;2013.0;2014.0;4.0;61.1;87.6;100.0;69.0;62.0;50.0;65.0;76.0;80.0;75.0;52.3;55.0;36.7;40.0;60.0;10.0;C;C;C;B;B;B;B;B;D;A;A;A;C;C;B;D;B;A;A;A;A;B;A;A;33.0;A;B;D;H;B;C;D;E;E;C;5.0;6.0;5.0;5.0;6.0;3.0;6.0;6.0;4.0;6.0;1.0;6.0;6.0;1.0;6.0;6.0;6.0;6.0;6.0;7.0;5.0;6.0;6.0;6.0;8.0;6.0;1.0;1.0;4.0;6.0;5.0;2.0;1.0;1.0;6.0;6.0;6.0;3.0;1.0;4.0;4.0;4.0
2;1;10028;Fisica;1;DF;CO;59;M;1976.0;2012.0;3.0;29.0;43.1;62.5;14.0;28.0;80.0;15.0;0.0;0.0;0.0;24.3;28.6;0.0;0.0;0.0;0.0;C;C;A;A;A;B;.;E;E;C;A;A;E;A;A;A;A;D;B;A;A;A;A;A;43.0;B;A;A;A;A;B;E;A;H;A;6.0;7.0;6.0;3.0;5.0;5.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;6.0;6.0;6.0;5.0;5.0;7.0;7.0;6.0;5.0;6.0;7.0;6.0;7.0;7.0;6.0;5.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;4.0;5.0;7.0;5.0;5.0;5.0
2;1;10028;Fisica;1;DF;CO;23;M;2011.0;2014.0;3.0;58.2;83.5;87.5;77.5;85.0;65.0;90.0;70.0;70.0;70.0;49.7;42.9;88.3;80.0;95.0;90.0;C;D;B;B;B;C;A;C;D;A;A;A;F;F;B;D;G;B;A;A;A;A;A;A;53.0;B;A;B;A;A;C;C;E;E;F;5.0;6.0;3.0;3.0;3.0;5.0;4.0;3.0;6.0;4.0;1.0;2.0;2.0;3.0;2.0;5.0;6.0;5.0;5.0;7.0;5.0;3.0;3.0;8.0;8.0;7.0;7.0;5.0;2.0;4.0;5.0;5.0;5.0;3.0;5.0;5.0;5.0;7.0;7.0;2.0;3.0;6.0
2;1;10028;Fisica;1;DF;CO;23;M;2011.0;2012.0;3.0;27.0;49.2;25.0;85.5;77.0;85.0;75.0;94.0;70.0;100.0;19.6;19.0;23.3;40.0;15.0;15.0;C;C;C;C;C;C;C;C;C;A;B;A;D;D;A;E;B;B;B;A;E;A;A;A;52.0;B;A;A;G;B;D;D;E;C;C;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
2;1;10028;Fisica;1;DF;CO;25;F;2010.0;2011.0;3.0;44.7;68.1;62.5;76.5;59.0;75.0;55.0;94.0;70.0;100.0;36.9;38.1;30.0;40.0;50.0;0.0;C;D;B;B;C;C;D;E;C;A;A;A;F;F;B;D;F;B;A;A;A;B;A;A;53.0;B;A;B;H;A;C;D;C;B;A;2.0;2.0;2.0;2.0;2.0;4.0;6.0;1.0;4.0;5.0;2.0;3.0;2.0;3.0;4.0;6.0;6.0;6.0;6.0;6.0;4.0;3.0;4.0;4.0;8.0;4.0;4.0;3.0;5.0;5.0;6.0;5.0;6.0;4.0;4.0;4.0;5.0;5.0;3.0;2.0;6.0;1.0
2;1;10028;Fisica;1;DF;CO;25;M;2010.0;2011.0;3.0;35.5;67.6;75.0;56.5;82.0;50.0;90.0;31.0;55.0;25.0;24.8;28.6;3.3;10.0;0.0;0.0;A;B;B;B;B;B;A;B;B;A;A;A;E;E;B;D;B;B;B;A;A;B;B;A;53.0;A;A;B;C;A;C;E;E;H;F;4.0;3.0;4.0;4.0;1.0;5.0;5.0;5.0;3.0;4.0;1.0;1.0;4.0;3.0;2.0;5.0;3.0;4.0;4.0;2.0;3.0;2.0;5.0;8.0;8.0;5.0;5.0;6.0;5.0;4.0;4.0;2.0;5.0;2.0;5.0;5.0;5.0;5.0;2.0;2.0;2.0;6.0
2;1;10028;Fisica;1;DF;CO;28;M;2007.0;2010.0;3.0;46.0;45.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.3;52.4;11.7;0.0;0.0;35.0;B;C;B;B;B;C;D;C;E;A;D;A;E;E;F;B;B;C;A;A;A;E;A;A;53.0;A;A;B;C;A;A;B;A;H;A;3.0;1.0;2.0;1.0;3.0;4.0;2.0;1.0;3.0;4.0;4.0;2.0;5.0;7.0;7.0;4.0;3.0;4.0;4.0;4.0;3.0;2.0;4.0;8.0;8.0;2.0;5.0;5.0;5.0;6.0;5.0;2.0;2.0;5.0;1.0;2.0;1.0;3.0;7.0;8.0;7.0;3.0
2;1;10028;Fisica;1;DF;CO;37;M;2000.0;2007.0;3.0;35.8;43.8;25.0;72.0;96.0;80.0;100.0;48.0;40.0;50.0;33.1;38.1;5.0;0.0;15.0;0.0;B;B;A;A;A;C;D;D;E;A;A;A;A;D;A;A;A;A;A;A;E;B;A;A;53.0;A;A;A;A;A;B;B;E;E;F;4.0;4.0;4.0;4.0;5.0;5.0;5.0;4.0;4.0;5.0;4.0;4.0;4.0;3.0;4.0;6.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;5.0;8.0;1.0;1.0;2.0;3.0;4.0;5.0;4.0;5.0;4.0;3.0;3.0;4.0;4.0;1.0;4.0;5.0;6.0
2;1;10028;Fisica;1;DF;CO;24;M;2010.0;2011.0;3.0;66.0;74.7;87.5;55.5;59.0;75.0;55.0;52.0;60.0;50.0;63.1;61.9;70.0;60.0;85.0;65.0;.;.;.;.;.;.;.;.;.;A;A;A;D;B;B;E;F;B;A;A;C;A;A;A;53.0;A;A;B;G;A;C;B;C;E;A;5.0;4.0;4.0;3.0;3.0;5.0;4.0;5.0;2.0;2.0;2.0;5.0;7.0;4.0;5.0;4.0;4.0;4.0;5.0;7.0;6.0;5.0;6.0;8.0;8.0;7.0;6.0;6.0;6.0;6.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;7.0;5.0;7.0;6.0
2;1;10028;Fisica;1;DF;CO;25;M;2009.0;2013.0;3.0;42.3;64.7;62.5;68.0;48.0;80.0;40.0;88.0;40.0;100.0;34.8;33.3;43.3;30.0;35.0;65.0;C;C;C;C;C;B;D;C;C;A;A;A;F;F;B;D;G;C;B;A;A;A;B;A;53.0;B;A;B;C;A;E;E;A;H;F;1.0;8.0;4.0;3.0;1.0;5.0;4.0;1.0;4.0;4.0;2.0;4.0;5.0;4.0;3.0;6.0;4.0;5.0;4.0;8.0;2.0;8.0;2.0;8.0;8.0;8.0;5.0;5.0;5.0;4.0;6.0;1.0;2.0;4.0;2.0;3.0;4.0;5.0;8.0;3.0;3.0;2.0
2;1;10028;Fisica;1;DF;CO;26;F;2008.0;2013.0;3.0;44.3;56.5;62.5;47.5;95.0;75.0;100.0;0.0;0.0;0.0;40.2;42.9;25.0;40.0;35.0;0.0;C;C;C;B;B;B;D;D;B;A;D;A;E;F;B;E;E;B;B;A;A;A;A;A;53.0;B;A;B;C;A;B;D;E;E;D;6.0;4.0;5.0;6.0;7.0;4.0;4.0;5.0;3.0;6.0;5.0;5.0;6.0;3.0;4.0;6.0;3.0;4.0;4.0;5.0;5.0;4.0;5.0;4.0;8.0;4.0;4.0;4.0;3.0;5.0;5.0;5.0;5.0;6.0;5.0;6.0;4.0;5.0;6.0;5.0;5.0;4.0
2;1;10028;Fisica;1;DF;CO;24;M;2010.0;2010.0;3.0;29.5;81.3;87.5;72.0;74.0;70.0;75.0;70.0;50.0;75.0;12.2;14.3;0.0;0.0;0.0;0.0;C;D;C;B;D;D;D;C;C;A;A;A;E;F;B;C;D;B;A;A;A;E;B;A;53.0;B;A;B;C;A;D;C;A;H;C;2.0;2.0;2.0;2.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;1.0;1.0;4.0;6.0;6.0;6.0;3.0;4.0;2.0;2.0;2.0;8.0;6.0;6.0;2.0;2.0;4.0;4.0;1.0;2.0;2.0;2.0;3.0;3.0;6.0;7.0;6.0;6.0;6.0
2;1;10028;Fisica;1;DF;CO;20;M;2013.0;2014.0;3.0;59.7;70.6;75.0;64.0;57.0;65.0;55.0;71.0;75.0;70.0;56.0;57.1;50.0;30.0;85.0;35.0;B;C;C;D;B;B;A;D;D;A;A;A;D;D;B;D;E;C;A;A;A;B;A;E;52.0;A;A;A;A;A;C;E;E;E;I;6.0;8.0;6.0;4.0;8.0;4.0;6.0;5.0;5.0;6.0;4.0;5.0;6.0;7.0;6.0;6.0;2.0;6.0;4.0;7.0;3.0;2.0;4.0;8.0;7.0;1.0;1.0;3.0;3.0;5.0;4.0;2.0;5.0;3.0;5.0;3.0;2.0;4.0;1.0;8.0;5.0;6.0
2;1;10028;Fisica;1;DF;CO;21;M;2013.0;2014.0;3.0;65.2;68.6;75.0;59.0;67.0;55.0;70.0;51.0;75.0;45.0;64.1;61.9;76.7;60.0;85.0;85.0;B;C;A;A;A;B;D;D;C;A;A;A;E;F;A;A;F;B;A;A;A;B;A;A;15.0;B;A;A;A;A;E;E;E;E;F;6.0;6.0;6.0;4.0;6.0;4.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;4.0;6.0;6.0;6.0;6.0;5.0;6.0;6.0;8.0;8.0;7.0;7.0;3.0;6.0;6.0;4.0;2.0;6.0;5.0;6.0;6.0;6.0;5.0;7.0;6.0;6.0;6.0
2;1;10028;Fisica;1;DF;CO;21;F;2013.0;2014.0;3.0;32.5;30.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;33.3;33.3;10.0;55.0;35.0;B;C;B;B;B;C;A;D;E;A;A;A;E;F;B;D;F;B;A;A;A;B;A;A;53.0;B;A;B;A;A;C;E;A;E;F;5.0;6.0;5.0;3.0;6.0;5.0;5.0;8.0;4.0;6.0;4.0;5.0;6.0;4.0;6.0;6.0;7.0;6.0;4.0;7.0;4.0;3.0;5.0;8.0;8.0;7.0;7.0;7.0;5.0;5.0;6.0;4.0;5.0;5.0;5.0;4.0;3.0;4.0;7.0;7.0;4.0;5.0
2;1;10028;Fisica;1;DF;CO;22;M;2012.0;2013.0;3.0;43.9;75.7;87.5;58.0;49.0;85.0;40.0;67.0;55.0;70.0;33.3;33.3;33.3;40.0;15.0;45.0;C;D;C;C;C;C;D;B;B;A;A;A;F;D;B;E;E;F;E;A;A;E;A;A;53.0;B;A;B;C;A;A;B;A;E;A;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;6.0;6.0;5.0;6.0;5.0;6.0;6.0;5.0;6.0;6.0;5.0;6.0;5.0;6.0;6.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;6.0;6.0
2;1;10028;Fisica;1;DF;CO;21;M;2013.0;2013.0;3.0;59.6;71.8;75.0;67.0;42.0;50.0;40.0;92.0;60.0;100.0;55.5;57.1;46.7;30.0;30.0;80.0;C;C;B;B;A;C;B;D;C;A;A;A;D;E;B;F;C;B;A;A;A;B;A;A;53.0;B;D;B;B;A;C;C;A;E;A;5.0;4.0;6.0;6.0;3.0;5.0;6.0;6.0;2.0;6.0;4.0;4.0;4.0;3.0;4.0;6.0;6.0;5.0;5.0;7.0;6.0;4.0;6.0;8.0;8.0;7.0;7.0;7.0;3.0;6.0;5.0;4.0;7.0;2.0;4.0;1.0;3.0;5.0;6.0;7.0;7.0;6.0
2;1;10028;Fisica;1;DF;CO;21;F;2013.0;2013.0;3.0;51.6;73.0;75.0;70.0;64.0;80.0;60.0;76.0;80.0;75.0;44.5;42.9;53.3;30.0;95.0;35.0;C;D;A;D;D;C;D;C;D;A;A;A;F;F;B;D;G;C;A;A;A;E;A;A;53.0;B;A;A;H;A;B;E;A;H;F;2.0;5.0;2.0;6.0;3.0;4.0;2.0;2.0;1.0;5.0;3.0;3.0;6.0;2.0;5.0;6.0;6.0;6.0;4.0;5.0;4.0;3.0;4.0;5.0;8.0;2.0;2.0;5.0;5.0;5.0;4.0;5.0;2.0;4.0;4.0;6.0;4.0;3.0;7.0;2.0;2.0;6.0
2;1;10028;Fisica;1;DF;CO;22;M;2012.0;2013.0;3.0;46.0;69.5;87.5;42.5;85.0;65.0;90.0;0.0;0.0;0.0;38.1;38.1;38.3;0.0;35.0;80.0;B;C;B;B;C;D;B;D;C;A;D;A;E;C;B;D;F;C;A;A;A;B;A;A;53.0;B;A;B;C;A;E;D;E;E;C;6.0;6.0;3.0;3.0;2.0;4.0;3.0;4.0;4.0;6.0;4.0;3.0;5.0;3.0;4.0;6.0;5.0;5.0;7.0;7.0;4.0;4.0;5.0;3.0;8.0;4.0;3.0;2.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;7.0;2.0;7.0;7.0;5.0
2;1;10028;Fisica;1;DF;CO;22;F;2012.0;2013.0;3.0;55.2;60.4;75.0;38.5;77.0;65.0;80.0;0.0;0.0;0.0;53.5;52.4;60.0;70.0;30.0;80.0;C;D;B;A;B;C;D;D;D;A;A;A;D;E;B;B;F;B;A;A;A;E;B;A;53.0;B;A;B;G;A;B;E;A;E;F;4.0;5.0;3.0;1.0;2.0;3.0;6.0;4.0;3.0;5.0;2.0;4.0;4.0;6.0;3.0;6.0;6.0;5.0;6.0;4.0;4.0;5.0;5.0;4.0;8.0;3.0;5.0;4.0;3.0;5.0;5.0;4.0;5.0;4.0;5.0;5.0;5.0;6.0;4.0;4.0;6.0;4.0
2;1;10028;Fisica;1;DF;CO;49;M;1988.0;2012.0;3.0;28.0;51.3;37.5;72.0;53.0;65.0;50.0;91.0;55.0;100.0;20.2;23.8;0.0;0.0;0.0;0.0;C;C;C;B;B;B;D;A;B;B;A;A;B;B;C;D;E;F;E;A;A;A;A;A;15.0;A;B;A;A;B;E;C;D;E;F;5.0;4.0;5.0;4.0;5.0;5.0;4.0;4.0;5.0;5.0;5.0;5.0;6.0;5.0;4.0;6.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;5.0;8.0;2.0;3.0;1.0;5.0;4.0;6.0;6.0;5.0;3.0;2.0;3.0;4.0;4.0;3.0;8.0;8.0;4.0
2;1;10028;Fisica;1;DF;CO;21;M;2013.0;2014.0;3.0;62.1;63.8;75.0;47.0;94.0;70.0;100.0;0.0;0.0;0.0;61.5;66.7;31.7;50.0;30.0;15.0;B;C;C;A;A;B;A;B;D;A;D;A;D;D;B;B;A;C;B;A;A;B;A;A;53.0;B;A;A;A;A;E;E;A;E;F;4.0;5.0;4.0;4.0;4.0;2.0;5.0;5.0;5.0;5.0;5.0;4.0;5.0;4.0;5.0;5.0;5.0;4.0;4.0;3.0;4.0;3.0;5.0;8.0;8.0;2.0;2.0;2.0;5.0;6.0;5.0;4.0;3.0;4.0;3.0;2.0;3.0;6.0;4.0;5.0;5.0;4.0
